system:index,annual_total_precipitation,year,.geo
00000000000000000000_0,4859639.352358988,1981.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_1,2047875.3228447174,1982.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_2,5281339.450322117,1983.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_3,6537923.570871686,1984.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_4,4887183.8505697185,1985.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_5,5671258.210107232,1986.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_6,3726809.692379816,1987.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_7,5365633.613044452,1988.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_8,3575163.775169671,1989.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_9,4555844.506620061,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_10,3950033.805683356,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_11,4797614.9435702665,1992.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_12,5851250.720119722,1993.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_13,2021197.0760577421,1994.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_14,3531817.3125435547,1995.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_15,6018408.983993728,1996.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_16,3846404.5817567925,1997.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_17,7081205.70296822,1998.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_18,3819678.675962828,1999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_19,3821249.7513789954,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20,3894095.648831253,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_21,2549001.553712025,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_22,4315399.964939049,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_23,3834471.855518737,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_24,4462745.580463821,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_25,3081480.675966466,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_26,2509439.351314053,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_27,4129082.92690413,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_28,3176534.6570046367,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_29,6451755.177850511,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_30,4045079.7906724336,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_31,3552176.0964687336,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_32,3691579.2098314883,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_33,3075573.3378980546,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_34,3549019.2100355662,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_35,7337052.302598526,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_36,2863943.73952111,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_37,2510842.417365351,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_38,2441675.8611222664,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_39,4329371.995366029,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_40,4564615.6401722515,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_41,6486760.008940771,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_42,2535989.4183683093,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_43,3707110.821011827,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
