water_year,total_basin_flow_3m_scaled,total_basin_flow_3m_scaled_lagged,total_basin_flow_annual_scaled,total_basin_flow_annual_scaled_lagged
2009,-1.1855966585432878,NA,-1.6087313426750893,NA
2010,-0.8768239095218388,-1.1855966585432878,-1.1423521914096175,-1.6087313426750893
2011,0.6057033714198913,-0.8768239095218388,1.310155643283166,-1.1423521914096175
2012,1.3086497325600759,0.6057033714198913,0.4992714737218183,1.310155643283166
2013,0.2225679748526622,1.3086497325600759,0.2092167331880964,0.4992714737218183
2014,-0.6752411594592449,0.2225679748526622,-0.44913676926701057,0.2092167331880964
2015,-0.17469175251915608,-0.6752411594592449,0.028599060182350446,-0.44913676926701057
2016,0.8919919164905442,-0.17469175251915608,0.8264592325728475,0.028599060182350446
2017,-0.7189372230852109,0.8919919164905442,-0.43435243225748166,0.8264592325728475
2018,-0.35569978337246455,-0.7189372230852109,-0.29325599860511486,-0.43435243225748166
2019,-0.4221044701974223,-0.35569978337246455,-0.5176291112764532,-0.29325599860511486
2020,-1.0245034866236313,-0.4221044701974223,-1.2648974831497153,-0.5176291112764532
2021,0.11863285190659717,-1.0245034866236313,-0.0802924967184084,-1.2648974831497153
2022,2.557379427074724,0.11863285190659717,1.9488610480022002,-0.0802924967184084
2023,1.0080484175840436,2.557379427074724,1.7235646804378952,1.9488610480022002
2024,-0.36179580510100207,1.0080484175840436,-0.3115445074808824,1.7235646804378952
2025,-0.9175794434652793,-0.36179580510100207,-0.44393553854860246,-0.3115445074808824
